stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
F03285,"Raktárak",47.536223,19.244773,,,2
F03286,"Cinkotai autóbuszgarázs",47.498984,19.238377,,,2
F03287,"Cinkotai autóbuszgarázs",47.499146,19.238444,,,2
F03289,"Cinkotai autóbuszgarázs",47.498483,19.238169,,,2
F03290,"Injekcióüzem",47.495937,19.231557,,,2
F03291,"Injekcióüzem",47.496209,19.232029,,,2
F03292,"Árpádföld, Dezsőfia utca",47.536386,19.200617,,,2
F03293,"Cinkota alsó",47.526787,19.220921,0,009526,2
F03294,"Cinkota alsó",47.525917,19.221057,0,009526,2
F03295,"Állás utca",47.529363,19.194082,,,2
F03296,"Állás utca",47.529171,19.194832,,,2
F03297,"Állás utca",47.529494,19.194966,,,2
F03298,"Menyhért utca",47.531699,19.200975,,,2
F03299,"Árpádföld, Bekecs utca",47.533507,19.20778,,,2
F03300,"Ostoros út 61.",47.523693,19.208176,,,2
F03301,"Ostoros út 40.",47.523187,19.209688,,,2
F03302,"Csókakő utca",47.521966,19.214996,,,2
F03303,"Csókakő utca",47.521794,19.215712,,,2
F03304,"Cinkota H",47.521133,19.218685,,,2
F03305,"Vidámvásár utca",47.519983,19.219218,,,2
F03306,"Vidámvásár utca",47.520092,19.219152,,,2
F03308,"Mátyásföld, repülőtér H",47.511591,19.193582,,,2
F03309,"Mátyásföld, repülőtér H",47.511536,19.193807,,,2
F03311,"Pilóta utca",47.505349,19.197952,,,2
F03313,"Pilóta utca",47.505528,19.198643,,,2
F03314,"Diósy Lajos utca",47.506797,19.204859,,,2
F03315,"Diósy Lajos utca",47.506518,19.204473,,,2
F03316,"Újszász utca",47.509079,19.208337,,,2
F03317,"Újszász utca",47.508881,19.208416,,,2
F03318,"Bökényföldi út",47.508733,19.209352,,,2
F03319,"Bökényföldi út",47.508769,19.209193,,,2
F03320,"Hunyadvár utca",47.51208,19.204284,,,2
F03321,"Hunyadvár utca",47.511855,19.204296,,,2
F03322,"Bökényföldi út",47.514484,19.203043,,,2
F03323,"Veres Péter út",47.514124,19.202962,,,2
F03324,"Bökényföldi út",47.514205,19.202524,,,2
F03325,"Anilin utca",47.513494,19.219868,,,2
F03326,"Anilin utca",47.513262,19.219151,,,2
F03327,"Vidámvásár utca (Georgina utca)",47.518477,19.226059,,,2
F03328,"Georgina utca",47.518271,19.227366,,,2
F03329,"Batthyány Ilona utca",47.519307,19.230377,,,2
F03330,"Cinkota, Lassú utca",47.520808,19.227016,,,2
F03331,"Rózsalevél utca",47.5226,19.231457,,,2
F03332,"Ilonatelep H (Georgina utca)",47.524735,19.229486,,,2
F03333,"Ilonatelep H",47.525905,19.229211,,,2
F03334,"Ilonatelep H",47.525879,19.228547,,,2
F03335,"Simongát utca",47.51722,19.235853,,,2
F03336,"Nagytarcsai út",47.517039,19.236623,,,2
F03337,"Erdei bekötőút",47.507858,19.235249,,,2
F03338,"Erdei bekötőút",47.507716,19.235401,,,2
F03339,"Margit utca",47.517698,19.19087,,,2
F03340,"Margit utca",47.517231,19.190643,,,2
F03341,"Centenáriumi lakótelep",47.516245,19.187985,,,2
F03342,"Szent Korona utca",47.529649,19.178724,,,2
F03343,"Szent Korona utca",47.530261,19.178274,,,2
F03344,"Békéshalom utca",47.505927,19.181268,,,2
F03345,"Garat utca",47.506053,19.181348,,,2
F03346,"Vörösmarty utca",47.532337,19.163125,,,2
F03347,"Péterke utca",47.533004,19.186011,,,2
F03348,"Péterke utca",47.533329,19.185015,,,2
F03349,"Baross utca",47.5335,19.168879,,,2
F03350,"Baross utca",47.532987,19.169555,,,2
F03351,"Szilas-patak",47.530143,19.187039,,,2
F03352,"Ida utca",47.526308,19.182036,,,2
F03353,"Ida utca",47.525996,19.18248,,,2
F03354,"Sasvár utca",47.518136,19.181079,,,2
F03355,"Sasvár utca",47.514312,19.173555,,,2
F03356,"Sasvár utca",47.514592,19.173064,,,2
F03357,"Szent Korona utca",47.526079,19.169273,,,2
F03358,"Diófa utca",47.525109,19.17607,,,2
F03359,"Szent Korona utca",47.523793,19.164534,,,2
F03360,"Szent Korona utca",47.523514,19.164985,,,2
F03361,"Baross utca",47.526651,19.15472,,,2
F03362,"Baross utca",47.526273,19.155264,,,2
F03363,"Szent Korona utca",47.520306,19.158691,,,2
F03364,"Szent Korona utca",47.52054,19.158598,,,2
F03365,"Őrmester utca",47.512085,19.167277,,,2
F03366,"Sasvár utca",47.512139,19.167383,,,2
F03367,"Sashalmi tér",47.509591,19.170457,,,2
F03368,"Sashalmi tér",47.509834,19.170006,,,2
F03369,"Baross utca",47.524101,19.150359,,,2
F03370,"Baross utca",47.524515,19.149789,,,2
F03371,"Szent Korona utcai lakótelep",47.518791,19.153204,,,2
F03372,"Szent Korona utcai lakótelep",47.518179,19.153654,,,2
F03373,"Szabadságtelep H",47.535391,19.204691,,,2
F03374,"Mazsola utca",47.535445,19.198037,,,2
F03375,"Rozsos utca",47.533975,19.193942,,,2
F03376,"Muzsika utca",47.532126,19.204655,,,2
F03377,"Felsőmalom utca",47.526356,19.201305,,,2
F03378,"Felsőmalom utca",47.525968,19.201941,,,2
F03379,"Cinkota H",47.519338,19.21753,,,2
F03380,"Cinkota H",47.518934,19.216931,,,2
F03382,"Papír utca",47.51053,19.213148,,,2
F03383,"Papír utca",47.51032,19.212862,,,2
F03384,"Farkashalom utca",47.511991,19.216564,,,2
F03385,"Farkashalom utca",47.512,19.216338,,,2
F03386,"Cinke utca",47.517253,19.222901,,,2
F03387,"Cinke utca",47.516971,19.222827,,,2
F03388,"Jókai Mór utca",47.504841,19.19361,,,2
F03389,"Jókai Mór utca",47.505038,19.19446,,,2
F03390,"Alsómalom utca",47.524957,19.204501,,,2
F03391,"Alsómalom utca",47.524579,19.205111,,,2
F03392,"Jókai Mór utca (Rendőrség)",47.510777,19.189517,,,2
F03393,"Jókai Mór utca (Rendőrség)",47.510928,19.190991,,,2
F03394,"Csinszka utca",47.515612,19.206684,,,2
F03395,"Csinszka utca",47.51537,19.206259,,,2
F03396,"Mátyásföld, Imre utca H",47.513486,19.20006,,,2
F03397,"Mátyásföld, Imre utca H",47.513731,19.200624,,,2
F03398,"Műkő utca",47.522819,19.223796,,,2
F03399,"Nebántsvirág utca",47.505996,19.211401,,,2
F03400,"Petőfi tér",47.506467,19.211051,,,2
F03401,"Zsemlékes út",47.502888,19.214418,,,2
F03402,"Zsemlékes út",47.503167,19.214313,,,2
F03403,"EGIS Gyógyszergyár",47.49712,19.224401,,,2
F03404,"EGIS Gyógyszergyár",47.496353,19.225885,,,2
F03405,"Cinkotai köztemető",47.530849,19.236559,,,2
F03406,"Cinkotai köztemető",47.530589,19.235907,,,2
F03407,"Gida utca",47.514666,19.191924,,,2
F03408,"Gida utca",47.514945,19.191407,,,2
